subject,Particular Scenario No#,answer,explanation,version,embed_level,question_id,category: Lily (2+3),Zach (3+4),Yuchen (4+1),Mira (1+2),code
33,260,sarcastic,"Julia has no clue of Margaret麓s life, she wouln麓t see the message as real. I don't understand why Margaret would send this message though",2,c,4c,R,,,R,R
33,261,sincere,"I hope Eric takes it in a good way (as it is sincere). Phillip is clearly being sarcastic, but very rude, taking into account that he麓s conducting interviews. Also, who cares about a jacket clashing with the outfit? Honestly.. ",2,a,5a,O,,,S,O
33,262,sincere,Of course he sees it as a sincere comment! How cuould he not? Sibling relationships are love-hate relationships. Unless David is a single-child.... maybe then he would take it as sarcasm because he hasn麓t experienced this type of relationships,2,b,6b,I,,,R,I
33,263,sincere,"I'm sure Ken was shocked and dissappointed to see Ana hanging out with JAmes again. Ana should stop talking to her ex, nothing good will come up from that",2,c,7c,I,,,I,I
33,264,sincere,"Clearly Elizabeth would think is sincere. She doesn麓t know anything about the trip, the unexpected love, and the miserable end",2,c,8c,R,,,R,R
34,265,sincere,"Unless this was previously spoken about, I would see no reason why Olivia would not take Alice sincerely",0,c,1c,O,,,I,O
34,266,sincere,It would be amiss to use sarcasm in that way since Catherine could choose to not go to the gym,0,a,2a,O,,,O,O
34,267,sincere,The message is indistinguishable from one written after a cake that was well received,0,c,3c,D,,,D,D
34,268,sincere,It is common knowledge that many people are afraid of dogs,0,a,4a,O,,,O,O
34,269,sincere,"Eric may think that his bold choice paid off, and remarks such as those are only taken sarcastically when there is some other reason to suppose so",0,b,5b,R,,,I,I
34,270,sarcastic,"David would recognise that while it is common for brothers to get into fights, serious fights are something else, as well as the very strong statement 'best brother ever' standing in contrast to what David has seen",0,c,6c,R,,,D,R
34,271,sincere,It is not unusual for exes to think fondly of each other after fights,0,b,7b,O,,,O,O
34,272,sincere,"No reason for Elizabeth to suppose otherwise, without knowledge of any of May's underlying problems",0,a,8a,R,,,R,R
35,273,sincere,"More of a friendly response and that particular phrase is not often used for sarcasm, especially over message",2,a,1a,D,,,D,D
35,274,sincere,Jane knows Catherine is excited and knows how much this means to her,2,b,2b,I,,,R,I
35,275,sincere,"I don't think she was intendning to hurt his feelings, I think she was just being kind",2,b,3b,S,,,S,S
35,276,sincere,She is genuinely scared of dogs,2,c,4c,S,,,S,S
35,277,sincere,Due to his demeanour during the interview - polite and friendly,2,a,5a,R,,,R,R
35,278,sarcastic,due to witnessing the heated argument,2,b,6b,R,,,R,R
35,279,sincere,They are good friends so I believe she would be honest enough if she wanted to respond negatively,2,c,7c,S,,,S,S
35,280,sincere,She didn't know the full information to know whether she was being sarcastic or not,2,c,8c,R,,,R,R
36,281,sincere,"It sounds as though Alice is trying to hide her feelings by her reply, the exclamation marks look like she's excited her friend now has the same hair as her",1,b,1b,D,,,D,D
36,282,sincere,I think Catherine is speaking from the euphoria of her PR rather than getting at anyone,1,c,2c,S,,,S,S
36,283,sincere,"He doesn't know he used salt so he'd take the message at face value, as sincere",1,a,3a,R,,,R,R
36,284,sarcastic,"If the dog is very cute to most people then Margaret's response will sound sarcastic, especially if Julia doesn't know about her aversion to bulldogs",1,b,4b,R,,,R,R
36,285,sarcastic,"If Eric knows anything about the company he would get the sarcasm, if he doesn't then he'd take it as sincere as this is a fashion magazine manager talking about fashion.  Hard to believe he wouldn't know about an ongoing conflict, I imagine that would be public or at least well-known in those circles",1,c,5c,I,,,R,O
36,286,sincere,"I don't see why he would think sarcastic, just because they fight (brothers often do)",1,a,6a,I,,,R,I
36,287,sincere,There's nothing to suggest she doesn't mean this,1,a,7a,O,,,S,O
36,288,sarcastic,Sounds like a vague thing people say when they are less than thrilled about something!,1,b,8b,D,,,D,D
37,289,sincere,hair cut is too far for a joke,1,b,1b,N,,,O,O
37,290,sincere,ive heard people say that,1,c,2c,O,,,O,O
37,291,sincere,sometimes its the effort that counts,1,a,3a,O,,,O,O
37,292,sincere,a logical response,1,b,4b,O,,,O,O
37,293,sincere,dont think eric would have known about the fued,1,c,5c,R,,,R,R
37,294,sarcastic,"he doesnt know either of them, but saw them fight",1,a,6a,R,,,R,R
37,295,sarcastic,he doesnt know they still talk,1,a,7a,R,,,R,R
37,296,sarcastic,too brief to be meaningful,1,b,8b,D,,,D,D
38,297,sincere,they are friends and alice would be nice for olivia,2,a,1a,S,,,S,S
38,298,sincere,she is high motivated,2,b,2b,S,,,S,S
38,299,sarcastic,She hate it but she tell that was perfect.,2,b,3b,N,,,S,S
38,300,sincere,she tell her truth.,2,c,4c,S,,,S,S
38,301,sarcastic,"phillip was very sarcastic, he hate erics jacket",2,a,5a,S,,,S,S
38,302,sincere,theey hate and love themselfe,2,b,6b,N,,,S,S
38,303,sincere,After broke up Ana think that James is a good person.,2,c,7c,S,,,S,S
38,304,sarcastic,it wasnt nice.,2,c,8c,S,,,S,S
39,305,sincere,"it comes off as a sincere compliment, not a backhanded one, as its to the point with no unnecessary words.",0,c,1c,D,,,D,D
39,306,sincere,"using the word 'pumped' adds sincerity to the message, it doesn't sound like a joke",0,a,2a,D,,,D,D
39,307,sarcastic,saying 'sweet' alludes to the mix-up between the salt and the sugar,0,c,3c,D,,,D,D
39,308,sincere,"It's a direct response, there is no reason to interpret it as anything other than sincere, especially given Margaret's opinion on dogs and bulldogs specifically.",0,a,4a,D,,,R,D
39,309,sincere,"Phillip probably wore it to stand out and make a statement, so would welcome the compliment.",0,b,5b,R,,,I,I
39,310,sarcastic,"David has only seen the confrontation between the brothers, not any of the good times they have spent with each other.",0,c,6c,R,,,R,R
39,311,sincere,"There is no reason to lie to a third party about her feelings towards James, so it would not be taken as anything other than sincere.",0,b,7b,O,,,S,I
39,312,sincere,It's over text so maybe they wouldn't have gone into detail on a text.,0,a,8a,O,,,D,O
40,313,sincere,I do not think Olivia's answer is sarcastic she is just not choosing to speak the truth.,1,b,1b,S,,,S,S
40,314,sincere,I think Catherine's message is just exaggerating how she feels. She is not being sarcastic as it is not the opposite to what she is thinking.,1,c,2c,O,,,S,O
40,315,sincere,"Anastasia is not causing any harm in her comment so I feel she is being sincere. Although the cake may not be great, Anastasia may be happy with the thought that went into it.",1,a,3a,S,,,S,S
40,316,sincere,She is being honest about her thoughts towards Margaret's dog.,1,b,4b,S,,,S,S
40,317,sarcastic,"assuming Eric knows some history between the magazine and fashion brand I feel that he would find it sarcastic, especially mentioning something so minor in an email after meeting face-to-face.",1,c,5c,I,,,S,I
40,318,sarcastic,He is saying the opposite to what is he thinking at the time about his brother and saying it in spite.,1,a,6a,S,,,S,S
40,319,sincere,Ana still thinks James is a good person so is just saying how she is thinking.,1,a,7a,S,,,S,S
40,320,sincere,"I feel ""nice"" is a way to explain in a sincere way that the trip was just OK.",1,b,8b,D,,,D,D
41,321,sarcastic,She doesn't like it so she can't be sincere.,2,a,1a,S,,,S,S
41,322,sincere,Seems to she start to feel better after gym.,2,b,2b,S,,,S,S
41,323,sarcastic,Cake was salty she refer to sweet as sarcasm,2,b,3b,S,,,D,D
41,324,sincere,Her bad experience with bulldog from childhood makes it sincere.,2,c,4c,S,,,S,S
41,325,sarcastic,He hasn't like his jacket so can't be sincere.,2,a,5a,S,,,S,S
41,326,sincere,They are brothers and they enjoy to spend time together.,2,b,6b,S,,,S,S
41,327,sincere,She likes James as a friend so she responded in sincere way so Ken must interpret it right.,2,c,7c,S,,,S,S
41,328,sincere,The trip was nice so it was a sincere text even if she expected more.,2,c,8c,S,,,S,S
42,329,sincere,while not honest it is not sarcastic.,1,b,1b,O,,,O,O
42,330,sincere,response is exaggerated but not sarcastic.,1,c,2c,O,,,O,O
42,331,sarcastic,Referring to him being sweet  as he got confused with sugar and salt.,1,a,3a,D,,,D,D
42,332,sarcastic,it is a puppy and most people think it very cute. Julia would probably interpret response as sarcastic.,1,b,4b,R,,,R,R
42,333,sincere,Eric would not have known the back story.,1,c,5c,R,,,R,R
42,334,sarcastic,the note contradicts his observations of the brothers.,1,a,6a,R,,,R,R
42,335,sarcastic,Ken does not know the current relationship between James and Anna.,1,a,7a,R,,,R,R
42,336,sincere,Elizabeth does not know the back story.,1,b,8b,R,,,R,R
43,337,sincere,"As she did not know that Alice was trying to create her own identity she most likely took the words ""omg I love it"" at face value and thinks that her friend really likes it!",0,c,1c,R,,,R,R
43,338,sincere,I think Jane would interpret the message as sincere because the message was only asking if all was ok so I dont think there was any sarcasm in her question.,0,a,2a,D,,,R,O
43,339,sincere,"Anastasias message to Jack would seem sincere because it only states that ""he is sweet"" so he would assume that she liked the cake and was thanking him.",0,c,3c,D,,,S,D
43,340,sarcastic,I think Julia would think the message was sarcastic as most of Julias friends think her dog is cute so I think in view of this she would take the remark as being sarcastic.,0,a,4a,R,,,R,R
43,341,sarcastic,I think he would interpret it as being sarcastic because it would be strange to say his jacket was nice otherwise.,0,b,5b,O,,,R,O
43,342,sincere,"Despite David hearing the arguement between the brothers, I think that David would see Jeremys remarks about his brother as being genuine and sincere.",0,c,6c,I,,,R,O
43,343,sincere,"I think ken would see the remarks as sincere because after a break up she would have every excuse to call him bad things but she did not, so is beleivable and sincere.",0,b,7b,I,,,R,I
43,344,sarcastic,"I think Elizabeth may have interpreted this text as sarcastic because instead of using words such as great. wonderful or fabulous to describe the trip, she just used the word nice which shows that things were not as good as they should have been.",0,a,8a,D,,,D,D
44,345,sincere,"It was just a text, and there were no hints at it being sarcasm",0,c,1c,D,,,D,D
44,346,sincere,"Again, just a text, no indications of sarcasm present",0,a,2a,D,,,D,D
44,347,sincere,"Again, text, no hints at sarcasm",0,c,3c,D,,,D,D
44,348,sarcastic,"Since everyone thinks the puppy is cute, and it's very unlikely anyone is afraid of puppies, the most likely assumption is that the text is sarcastic",0,a,4a,O,,,R,R
44,349,sincere,"No hints at it being sarcastic, unless Eric knew beforehand that the jacket wasn't the best, in which case he would take it as being sarcasm",0,b,5b,I,,,R,R
44,350,sarcastic,"Because it is unlikely that they have such a good relationship, so it is more likely that it is sarcasm",0,c,6c,O,,,O,O
44,351,sincere,"No hints at sarcasm, although whether it would be taken as sarcasm depends on Ana's personality. ",0,b,7b,D,,,O,O
44,352,sincere,"No hints at sarcasm, the answer was believable",0,a,8a,D,,,O,O
45,353,sincere,They are best friends and her reply doesn't have any elipses or emoji or anything to indicate uncertainty or sarcasm,0,c,1c,D,,,D,D
45,354,sarcastic,She would obviously not actually lift a cow,0,a,2a,O,,,O,O
45,355,sincere,He wasn't aware of him swapping salt and sugar,0,c,3c,R,,,R,R
45,356,sarcastic,It would be akward to actually say that so I think she would think that it is sarcasm,0,a,4a,O,,,R,O
45,357,sincere,Eric wasn't aware of the conversation beforehand,0,b,5b,R,,,R,R
45,358,sarcastic,The only time he has seen them interacting was a heated argument,0,c,6c,R,,,R,R
45,359,sincere,It would not be an conversation for sarcasm,0,b,7b,O,,,O,O
45,360,sincere,she would have no reason to believe that May was lying,0,a,8a,R,,,O,O
46,361,sincere,"Olivia doesn't have any existing knowledge that Alice is upset about the hairstyle, so she would probably take the message as sincere.",1,b,1b,R,,,R,R
46,362,sincere,Jane would likely be anticipating a more tempered reply. Catherine's message probably carries an unusual amount of enthusiasm which would lean towards sincerity.,1,c,2c,D,,,I,D
46,363,sincere,"Lacking any knowledge of salt/sugar mix-up, I would expect Jack to assume this to be sincere.",1,a,3a,R,,,R,R
46,364,sarcastic,"As recent acquaintances, Julia may not be aware of Margaret's dog aversion. Given the number of ""cute"" replies she's received, Julia may assume Margaret is making a playful compliment rather than a sincere expression of fear.",1,b,4b,R,,,R,R
46,365,sincere,"Unless Eric specifically noticed that Philip's scoff was directed towards the jacket, or knew the history of the company rivalry, he would likely think it's sincere.",1,c,5c,R,,,R,R
46,366,sarcastic,"Lacking more knowledge of the brothers and with the most recent interaction David witnessed between them being a heated argument, so he would likely believe Jeremy was being sarcastic.",1,a,6a,R,,,R,R
46,367,sincere,"Knowledge of the break up fight might cause Ken to expect a negative response, but I would assume that since he's asking after a year-long cooling off period that he'd expect a sincere answer from Ana.",1,a,7a,R,,,R,R
46,368,sarcastic,"""Nice"" is a very bland summary of a long road trip, and Elizabeth would likely assume there is more to May's feelings than what's present in her text.",1,b,8b,D,,,D,D
47,369,sincere,she would trust what she was saying to her as she was happy with her hairstyle and wouldnt have realised that Alice was annoyed,1,b,1b,R,,,R,R
47,370,sincere,"i choose this as i feel that Jane would have understood the sentiment behind it that Catherine was feeling strong, and used a cow as an analogy",1,c,2c,I,,,R,I
47,371,sincere,"Jack wouldnt have realised his mistake, so would have taken the message at face value",1,a,3a,R,,,R,R
47,372,sincere,"she doesnt know her well, so wouldnt be messing around, also that is her first response to the photo with no emojis to say otherwise",1,b,4b,D,,,R,R
47,373,sincere,eric would not have known any of the backstory between the two companies and would have accepted at face value the sentiment,1,c,5c,R,,,R,R
47,374,sincere,"no reason to suspect he would be anything other than genuine, as their relationship as brothers goes deeper than just arguments",1,a,6a,O,,,S,O
47,375,sincere,just because the relationship eneded with a fight doesnt mean Ana cant think of him as great,1,a,7a,O,,,O,O
47,376,sincere,"she answered the question, though using the word nice she may have sussed that there might have been a bit more to it",1,b,8b,D,,,D,D
48,377,sincere,I don't think alice is being sarcastic necessarily. she is being insincere as she does not really love olivia's hair and wants her to have different hair so it is a disingenuous comment rather than a sarcastic one. she probably is lying and saying she loves her hair as she doesn't want to hurt olivia's feelings,0,c,1c,O,,,S,O
48,378,sincere,catherine's message is not sarcastic as it is not mean-spirited. it is just hyperbole as although she could not literally lift a cow she is sincere in expressing how good she feels,0,a,2a,O,,,D,O
48,379,sarcastic,the text may be a joke in sarcasm saying he is sweet despite the salt. if they are long term close friends then sometimes sarcastic jokes are okay,0,c,3c,D,,,D,D
48,380,sincere,"margaret is being honest about her reaction to the dog so it isnt sarcasm, julia may not react well but at least margaret is sincere",0,a,4a,S,,,S,S
48,381,sincere,eric would not have known about philip's conversation with his coworker as he was not there. so as far as eric knows the compliment is sincere,0,b,5b,R,,,R,R
48,382,sarcastic,david may think this is sarcasm as he has seen them fighting recently,0,c,6c,R,,,R,R
48,383,sincere,kevin would interpret ana's comment as sincere as she genuinely believes this and as her close friend kevin would know this,0,b,7b,I,,,R,I
48,384,sincere,Elizabeth would interpret May's text as sincere as to her knowledge may is being sincere as she did enjoy the trip despite what she has recently found out about Kate. just because she knows that kate is unavailable doesnt mean the trip was bad,0,a,8a,R,,,R,R
49,385,sincere,"Olivia does not necessarily know that Alice is annoyed about her copying her hairstyle. Also, the intention of Alice's text is not necessarily to be sarcastic even if it is insincere.",1,b,1b,R,,,R,R
49,386,sincere,I don't think her response could be considered sarcastic even if she knows that Jane is not happy about her return to the gym.,1,c,2c,O,,,S,O
49,387,sincere,He does not know the cake is bad,1,a,3a,R,,,R,R
49,388,sarcastic,"She does not know about Margaret's childhood incident, and there is apparently little reason to believe soemone would consider the dog sincerely scary",1,b,4b,R,,,R,R
49,389,sincere,"Eric would not know about the conflict with the company, nor that Phillip considers it to clash with the rest of his outfit. ",1,c,5c,R,,,R,R
49,390,sarcastic,"This was a hard choice, but maybe sarcastic given that his only experience of the two was an argument.",1,a,6a,R,,,R,R
49,391,sincere,"There is no obvious way for this to be interpreted as a sarcastic response, without some kind of physical gesture (eye-rolling, etc) to indicate it. ",1,a,7a,D,,,D,D
49,392,sincere,May's friend is unaware of what happened on the trip - and would probably assume the trip was nice.,1,b,8b,R,,,R,R
50,393,sincere,they have been friend for a long time,1,b,1b,R,,,O,O
50,394,sincere,shes pumped up and rteady to work,1,c,2c,S,,,S,S
50,395,sarcastic,the cake has salt in it,1,a,3a,O,S,,O,O
50,396,sincere,shes doesnt like dogs,1,b,4b,S,S,,O,O
50,397,sarcastic,hes doesnt like the brand,1,c,5c,S,S,,,S
50,398,sincere,they are brothers,1,a,6a,O,O,,,O
50,399,sincere,they still talk regulalry,1,a,7a,O,S,,O,O
50,400,sincere,it was a good trip with a friend,1,b,8b,S,S,,,S
51,401,sincere,They are good friends and there are lots of exclamation marks. It seems like Alice meant well and meant not to hurt her friend's feelings.,2,a,1a,D,S,,S,S
51,402,sincere,"I think her answer is sincere, though joking.",2,b,2b,O,O,,,O
51,403,sincere,It seems like Anastasia meant to be nice to her friend.,2,b,3b,S,S,,,S
51,404,sincere,Margaret is sincerely afraid of dogs and seemed like she meant what she said.,2,c,4c,S,S,,,S
51,405,sarcastic,This seems like an extraneous thing to say.,2,a,5a,D,D,,,D
51,406,sarcastic,"This phrase comes off as sarcasm, especially because the two boys fight a lot.",2,b,6b,D,R,,R,R
51,407,sincere,"The paragraph says that Ana still thinks well of James, so her saying that he is a great person is not a surprise.",2,c,7c,O,S,,S,S
51,408,sarcastic,May's response seems curt and more sarcastic knowing the background of the story.,2,c,8c,O,D,,O,O
52,409,sarcastic,It clearly says she doesn't like it,2,a,1a,S,S,,,S
52,410,sincere,she was genuinely worried and interested,2,b,2b,O,R,,R,R
52,411,sarcastic,She is lying,2,b,3b,S,S,,,S
52,412,sincere,she had a trauma and is telling the truth,2,c,4c,S,S,,,S
52,413,sarcastic,lying,2,a,5a,S,S,,,S
52,414,sincere,they are friends,2,b,6b,S,S,,,S
52,415,sincere,she wouldn't seek his advice etc if she didn't really still think he was great,2,c,7c,S,S,,,S
52,416,sarcastic,"lying, she was upset",2,c,8c,S,S,,,S
53,417,sincere,She does not want to upset her friend,0,c,1c,S,S,,,S
53,418,sarcastic,It is just a figure of speech,0,a,2a,D,D,,,D
53,419,sincere,It was a thoughtful gesture from a friend,0,c,3c,O,S,,S,S
53,420,sincere,She has an aversion to them,0,a,4a,S,S,,,S
53,421,sarcastic,He has already mocked it,0,b,5b,S,S,,,S
53,422,sincere,"Despite their fights, they are close",0,c,6c,S,S,,,S
53,423,sincere,They have remained friends and still keep in contact,0,b,7b,S,S,,,S
53,424,sincere,She enjoyed the trip,0,a,8a,S,S,,,S
54,425,sincere,Olivia can't read Alice's thoughts.,1,b,1b,R,R,,,R
54,426,sarcastic,"It's obvious that Catherine doesn't really believe she could lift a cow, so in that sense it's more sarcasm than seriousness.",1,c,2c,S,D,,D,D
54,427,sincere,Jack doesn't realize he used salt instead of sugar.,1,a,3a,R,R,,,R
54,428,sincere,Most people wouldn't call someone's pet scary unless they meant it.,1,b,4b,O,S,,O,O
54,429,sincere,Eric isn't aware of the clash.,1,c,5c,R,R,,,R
54,430,sarcastic,David knows about the fight.,1,a,6a,R,R,,,R
54,431,sincere,People don't usually keep in contact with people they deem bad.,1,a,7a,O,I,,O,O
54,432,sincere,Elizabeth isn't aware of May's crush.,1,b,8b,R,R,,,R
55,433,sincere,though being annoyed by being copies she obviously likes the style as she had it done to herself,0,c,1c,S,S,,,S
55,434,sincere,she is using humour to express her positivity at. her progress,0,a,2a,S,S,,,S
55,435,sincere,she appreciates the effort jack made and is using a white lie to save his feelings,0,c,3c,S,S,,,S
55,436,sincere,just expressing how she feels,0,a,4a,S,S,,,S
55,437,sincere,no reason to think otherwise,0,b,5b,O,R,,O,O
55,438,sincere,you can appreciate siblings even when you fall out,0,c,6c,O,S,,O,O
55,439,sincere,its how she feels,0,b,7b,S,S,,,S
55,440,sincere,beth doset know may was goig to confess feelings but backed down,0,a,8a,R,R,,,R
56,441,sincere,it seems genuine,2,a,1a,D,O,,O,O
56,442,sincere,seems more of a funny answer,2,b,2b,D,D,,,D
56,443,sincere,she was being polite,2,b,3b,S,D,,S,S
56,444,sincere,its her hang up showing,2,c,4c,N,O,,,N
56,445,sarcastic,it was a throw away remark,2,a,5a,D,D,,,D
56,446,sarcastic,so why do they fight?,2,b,6b,N,O,,O,O
56,447,sincere,she is overlooking the ending of relationship,2,c,7c,S,S,,,S
56,448,sincere,most of trip was nice,2,c,8c,O,S,,S,S
57,449,sincere,"She replied with a response that is of the same opinion as Olivia has about her hair, so she may not detect the sarcasm",1,b,1b,D,R,,R,R
57,450,sarcastic,"She knows that she could not literally lift a cow, but she could still detect her optimism",1,c,2c,R,O,,O,O
57,451,sincere,Jack does not know he has made the error.,1,a,3a,R,R,,,R
57,452,sarcastic,"It is a new coworker who may not know about Margaret's history with dogs, so she won't expect any genuine fear",1,b,4b,R,R,,,R
57,453,sincere,"Unless Eric heard Phillip's scoff under his breath, he will think it is a sincere comment",1,c,5c,R,R,,,R
57,454,sincere,He genuinely enjoys spending time with his brother.,1,a,6a,S,S,,,S
57,455,sarcastic,"After ending it with a big fight, you would not expect them to be on good terms still",1,a,7a,R,R,,,R
57,456,sincere,Elizabeth is likely oblivious to May's feelings about Kate,1,b,8b,R,R,,,R
58,457,sarcastic,"since they have been friends a long time, it makes sense that they know each other well enough - knowing preferences of the other person.",2,a,1a,I,I,,,I
58,458,sincere,there's no reason why Jane would take that as sarcastic. they're partners and Jane wants the best for her partner.,2,b,2b,O,R,R,,R
58,459,sincere,he doesn't know he made the mistake and probably thinks his friends appreciated his efforts,2,b,3b,R,R,,,R
58,460,sarcastic,considering most people think the dog is cute meaning probably small and non-threatening plus jane doesn't know margaret's aversion to bulldogs,2,c,4c,R,R,,,R
58,461,sarcastic,maybe Eric heard the scoff,2,a,5a,I,R,R,,R
58,462,sarcastic,David doesn't know their history and they just had a fight,2,b,6b,R,R,,,R
58,463,sarcastic,ken still knows of the dramatic fight and not the good years they had thereafter,2,c,7c,R,R,,,R
58,464,sincere,elizabeth doesnt know about the heartbreak,2,c,8c,R,R,,,R
59,465,sincere,an attempt to save feelings,2,a,1a,S,S,,,S
59,466,sincere,no sign of sarcasm,2,b,2b,D,O,O,,O
59,467,sincere,meant as a joke,2,b,3b,S,S,,,S
59,468,sincere,a genuine feeling,2,c,4c,S,S,,,S
59,469,sincere,eric wouldn't get sarcasm from the note so seems more vindictive than sarcastic.,2,a,5a,D,R,D,,D
59,470,sarcastic,can be seen as sarcasm,2,b,6b,O,O,,,O
59,471,sincere,seems genuine,2,c,7c,O,D,O,,O
59,472,sincere,not sarcasm,2,c,8c,O,O,,,O
60,473,sincere,because theyre close friends and olivia would trust alices reaction,0,c,1c,R,I,I,,I
60,474,sincere,jane would trust the message as showing catherines capability,0,a,2a,R,O,R,,R
60,475,sincere,as theyre friends jack would take the comment as a compliment and in a positive light,0,c,3c,R,R,,,R
60,476,sarcastic,i think julia would take it as being humourous and sarcastic and not sincere,0,a,4a,R,R,,,R
60,477,sincere,he would trust his comment as he work for a fashion magazine,0,b,5b,R,R,,,R
60,478,sarcastic,because he saw the argument he wouldnt believe the message in the letter,0,c,6c,R,R,,,R
60,479,sarcastic,she would think she's being sarcastic as she knows they broke up but doesnt know that they still talk etc,0,b,7b,R,R,,,R
60,480,sincere,she would think its a genuine response,0,a,8a,R,O,R,,R
61,481,sincere,You would not expect your friend to be sarcastic about your new hairstyle,0,c,1c,O,R,R,,R
61,482,sarcastic,There is no way she could actually lift a cow.,0,a,2a,O,D,D,,D
61,483,sincere,You wouldn't want to hurt your friends feelings especially when they've done something so kind.,0,c,3c,O,S,O,,O
61,484,sarcastic,Most people would not actually be unkind about your dog.,0,a,4a,O,R,O,,O
61,485,sincere,It would be unprofessional to be sarcastic.,0,b,5b,O,S,O,,O
61,486,sarcastic,david knows that Jeremy does not actually think this.,0,c,6c,I,R,I,,I
61,487,sincere,Couples who split up can still be friends.,0,b,7b,O,O,,,O
61,488,sincere,Elizabeth does not know that May was going to confess to Kate her crush.,0,a,8a,R,R,,,R
62,489,sincere,They are best friends and this seems to be the only thing which is negative so alice wont be able to tell the difference,1,b,1b,R,R,,,R
62,490,sincere,It just seems playful,1,c,2c,D,O,D,,D
62,491,sincere,he doesnt know he put salt in the cake and he has not tried it himself,1,a,3a,R,R,,,R
62,492,sarcastic,they are coworkers so she might think that everyone thinks bulldogs are scary at first sight,1,b,4b,O,O,,,O
62,493,sarcastic,i think he could have done this on purpose to cause some sort of reaction,1,c,5c,I,S,I,,I
62,494,sarcastic,he doesnt know much of them execpt that they fight a lot,1,a,6a,R,R,,,R
62,495,sincere,the fact they still speak with each other means they are better now,1,a,7a,S,S,,,S
62,496,sincere,it short but simple they had a heartwarming chat,1,b,8b,S,O,S,,S
63,497,sarcastic,"I think that the compliment is very passive aggressive, and Alice is probably quite bitter about Olivia copying her hairstyle.",0,c,1c,S,S,,,S
63,498,sincere,I think that Jane is genuinely concerned about Catherine and I don't think her message sounds insincere at all - she is worried about her partner.,0,a,2a,S,N,S,,S
63,499,sincere,I think that Anastasia probably didn't want to upset Jack as she knew he'd tried his best despite being a poor cook. She probably wanted to just keep the real reaction to herself without hurting his feelings.,0,c,3c,S,S,,,S
63,500,sincere,"I think Margaret was just giving her true and honest opinion about the dog, and wasn't trying to hide her dislike. She was authentic about her response.",0,a,4a,S,S,,,S
63,501,sincere,"On one hand, I think he could be being sarcastic but I think he is being sincere in that he just wants to make the candidate feel some confidence after the interview and after Philip was so polite and friendly. He kept his opinion to himself and tried to give Philip a bit of a boost.",0,b,5b,S,S,,,S
63,502,sincere,"As mentioned in the text, despite the fights, Jeremy feels generally very positive about his brother and wants to show David that really, he does love his brother.",0,c,6c,S,S,,,S
63,503,sincere,"I would hope that Ana and Ken had spoken about James before, and since he has asked for her real opinion, believes what Ana has said about her ex.",0,b,7b,I,I,,,I
63,504,sincere,"Since Elizabeth probably doesn't know the backstory, she probably did think May was being sincere and that she had had a nice time.",0,a,8a,R,R,,,R
64,505,sincere,Alice seems to be hiding her annoyance so it would probably come across as sincere as that's her intention.,0,c,1c,S,S,,,S
64,506,sincere,Catherine seems to be genuinely enthusiastic about her time at the gym.,0,a,2a,S,S,,,S
64,507,sincere,"It seems to be like Anastasia appreciates Jack's attempt to do something nice for her, she doesn't want to hurt his feelings.",0,c,3c,S,S,,,S
64,508,sarcastic,If she doesn't know about Margaret's dog issues then Julia might think she's being sarcastic and means that really he's adorable. But if she knows she's scared of them then she'd realize she's being sincere.,0,a,4a,R,R,,,R
64,509,sincere,He'd think Philip is being sincere because he doesn't know his real feelings about those jackets.,0,b,5b,R,R,,,R
64,510,sincere,"Even if David saw them fighting that one time, he has no real reason to think they don't like each other so he'd probably think it was sincere.",0,c,6c,O,R,R,,R
64,511,sincere,I think that the tone of the conversation would make a difference here. I feel like Ken would know if that's something Ana would be sarcastic about or not.,0,b,7b,I,I,,,I
64,512,sincere,Elizabeth would probably really that May's reply is less than enthusiastic but I don't think she'd think May is being sarcastic unless she knows more of the story.,0,a,8a,R,R,,,R
65,513,sincere,She has no idea that copying her friend would dent her friend's individuality,0,c,1c,R,R,,,R
65,514,sincere,"catherine is excited, she has no inkling of her friend's doubts she is just happy to have performed well",0,a,2a,R,S,S,,S
65,515,sarcastic,"jack knows deep down he screwed up, he is not fooled by the praise, he knows his mate loves him",0,c,3c,I,I,,,I
65,516,sincere,she can see her friend has a negative perception of her dog no matter how cute he is,0,a,4a,I,I,,,I
65,517,sincere,"he does not want eric to feel he has screwed up, he is kind enough to praise the thing he has serious doubts about",0,b,5b,S,S,,,S
65,518,sincere,he cares about spencer despite the things he is noon board with,0,c,6c,S,S,,,S
65,519,sincere,"she cARES about him, she will not treat him badly",0,b,7b,S,S,,,S
65,520,sincere,"it WAS nice, but the outcome may be sad for may",0,a,8a,S,S,,,S
66,521,sincere,she would be happy for her friend and would be pleased she likes it,1,b,1b,R,S,S,,S
66,522,sarcastic,"it is not sincere as it is not a serious comment, more witty",1,c,2c,D,D,,,D
66,523,sincere,Jack does not know his mistake so he would think the cake was perfect,1,a,3a,R,R,,,R
66,524,sarcastic,dog owners do not accept their own pet is scary even if Margaret genuinely sees it that way,1,b,4b,R,O,O,,O
66,525,sincere,Eric does not know about the conflict with the jacket brand or he would not have worn it for the interview,1,c,5c,R,R,,,R
66,526,sincere,even though they fight he enjoys spending time with his brother and genuinely thinks that,1,a,6a,S,S,,,S
66,527,sarcastic,his last memory would be the dramatic fight so he would find that hard to believe,1,a,7a,R,R,,,R
